y_socm_A1_par_p_y:z,y_socm_A1_par_p_y:x,y_socm_A1_par_p_z:x,y_socm_A1_par_d_xy:yz,y_socm_A1_par_d_xy:xz,y_socm_A1_par_d_xy:x2-y2,y_socm_A1_par_d_yz:z2-r2,y_socm_A1_par_d_yz:xz,y_socm_A1_par_d_yz:x2-y2,y_socm_A1_par_d_z2-r2:xz,y_socm_A1_par_d_xz:x2-y2,y_socm_A1_perp_p_y:z,y_socm_A1_perp_p_y:x,y_socm_A1_perp_p_z:x,y_socm_A1_perp_d_xy:yz,y_socm_A1_perp_d_xy:xz,y_socm_A1_perp_d_xy:x2-y2,y_socm_A1_perp_d_yz:z2-r2,y_socm_A1_perp_d_yz:xz,y_socm_A1_perp_d_yz:x2-y2,y_socm_A1_perp_d_z2-r2:xz,y_socm_A1_perp_d_xz:x2-y2,y_socm_A2_par_p_y:z,y_socm_A2_par_p_y:x,y_socm_A2_par_p_z:x,y_socm_A2_par_d_xy:yz,y_socm_A2_par_d_xy:xz,y_socm_A2_par_d_xy:x2-y2,y_socm_A2_par_d_yz:z2-r2,y_socm_A2_par_d_yz:xz,y_socm_A2_par_d_yz:x2-y2,y_socm_A2_par_d_z2-r2:xz,y_socm_A2_par_d_xz:x2-y2,y_socm_A2_perp_p_y:z,y_socm_A2_perp_p_y:x,y_socm_A2_perp_p_z:x,y_socm_A2_perp_d_xy:yz,y_socm_A2_perp_d_xy:xz,y_socm_A2_perp_d_xy:x2-y2,y_socm_A2_perp_d_yz:z2-r2,y_socm_A2_perp_d_yz:xz,y_socm_A2_perp_d_yz:x2-y2,y_socm_A2_perp_d_z2-r2:xz,y_socm_A2_perp_d_xz:x2-y2
-0.0217605,-0.0135255,-0.0213818,-0.015953,-0.0239141,-0.067191,-0.0559442,-0.0374742,-0.0247326,-0.0456352,-0.0146619,-0.0221314,-0.0135503,-0.0213659,-0.0166481,-0.0155905,-0.061297,-0.0476808,-0.0303476,-0.0173937,-0.0456937,-0.0199115,-0.0099249,-0.008139,-0.0093429,-0.0240985,-0.0135908,-0.1312174,-0.0509691,-0.0312948,-0.0199753,-0.0713412,-0.0284344,-0.007756,-0.0070274,-0.0085182,-0.0337913,-0.0320624,-0.1498634,-0.0689933,-0.0226927,-0.0314747,-0.071745,-0.0329202
-0.0019349,-0.0005857,-0.0025431,-0.0013069,-0.0016897,-0.006991,-0.0002483,-0.0059498,-0.0013256,0.0004334,-0.0017093,-0.0021088,-0.0006666,-0.0025383,-0.0016883,-0.0011484,-0.008335,-0.0026502,-0.0011893,-0.0009918,0.0008277,-0.0017087,-0.0045605,-0.0030002,-0.0046336,-0.0358147,-0.0511592,-0.1518715,-0.1125572,-0.043255,-0.0475668,-0.0904917,-0.0353013,-0.0045659,-0.0025952,-0.0045971,-0.0295153,-0.0326913,-0.2257817,-0.0928366,-0.0466573,-0.0337974,-0.0958768,-0.0272395
-0.0263769,-0.0104359,-0.0267605,-0.0225374,-0.0278469,-0.0663627,-0.0447929,-0.0445171,-0.0183528,-0.0487522,-0.0159355,-0.0260044,-0.0089887,-0.0257235,-0.0178748,-0.0170472,-0.0769973,-0.0535644,-0.0221262,-0.0155259,-0.0513565,-0.0157914,-0.0062288,-0.0049396,-0.0061713,-0.0294347,-0.029198,-0.1669484,-0.0803258,-0.0533177,-0.0377086,-0.0666584,-0.0334752,-0.0061211,-0.0038246,-0.0062493,-0.0213214,-0.0233273,-0.2303693,-0.0801504,-0.0312947,-0.0202797,-0.0863266,-0.0206275
-0.0231961,-0.0128774,-0.0239268,-0.0225937,-0.01621,-0.0617089,-0.0403641,-0.0359844,-0.0131796,-0.051019,-0.0177874,-0.0226318,-0.010285,-0.0232099,-0.0144049,-0.0140695,-0.0613896,-0.0446036,-0.0231155,-0.0142898,-0.0467396,-0.0137536,-0.0079834,-0.0076885,-0.0081631,-0.0119877,-0.0260321,-0.118442,-0.0585489,-0.0394314,-0.0273999,-0.0472705,-0.0253756,-0.0071511,-0.0065493,-0.0068459,-0.0275599,-0.0307721,-0.1639185,-0.0588253,-0.0190534,-0.0274727,-0.0579379,-0.0310484
-0.0018798,-0.0007404,-0.0017449,-0.0003259,-0.0024982,-0.0068241,-0.008624,-0.0042963,-0.0026208,-0.0011089,-0.0007556,-0.0013806,-0.0005345,-0.0016554,-0.0006092,-0.0004423,-0.0059024,1.77e-05,-0.0017124,-0.0007957,-0.0020433,-0.0001861,-0.0061795,-0.004315,-0.0063926,-0.0289333,-0.0232877,-0.1212118,-0.0436832,-0.028865,-0.0190673,-0.0835087,-0.0271185,-0.0064239,-0.0039461,-0.0061801,-0.0282197,-0.0338163,-0.1352096,-0.0823409,-0.0181464,-0.0286839,-0.0815978,-0.033104
-0.0271725,-0.0106982,-0.0294231,-0.0195542,-0.0296812,-0.0690522,-0.0374492,-0.0425587,-0.0182216,-0.0432978,-0.0200235,-0.0272343,-0.0102801,-0.0292929,-0.0191429,-0.0236081,-0.0720931,-0.0453081,-0.0290299,-0.0184024,-0.0469225,-0.0222359,-0.0063298,-0.0048714,-0.005778,-0.034015,-0.033593,-0.173593,-0.0914036,-0.0491558,-0.036045,-0.0808054,-0.0302722,-0.0058728,-0.0039561,-0.0052635,-0.034413,-0.0284117,-0.219137,-0.0789405,-0.0425391,-0.0245553,-0.0720784,-0.0308945
-0.0018223,-0.0005742,-0.0025647,-0.0018078,-0.0028874,-0.0074093,-7.44e-05,-0.0063536,-0.0008366,0.0019334,-0.0014684,-0.0019522,-0.0006775,-0.0025752,-0.0016869,-0.001096,-0.0087399,-0.0027338,-0.0016341,-0.0009125,0.0021014,-0.0020038,-0.0046277,-0.0031064,-0.0047591,-0.0366016,-0.049857,-0.15317,-0.1066613,-0.0422468,-0.0518624,-0.0961532,-0.0337423,-0.0047063,-0.0027178,-0.0047421,-0.029586,-0.0315394,-0.22815,-0.0942341,-0.0484981,-0.0319235,-0.0984982,-0.0272923
-0.0246554,-0.0095168,-0.0255152,-0.0258661,-0.0253743,-0.0618432,-0.0469832,-0.0538146,-0.019501,-0.0453659,-0.0216136,-0.0249697,-0.0102146,-0.0267777,-0.0198545,-0.0222406,-0.0719418,-0.0511779,-0.0488447,-0.0224459,-0.0310884,-0.0217792,-0.0061229,-0.0061055,-0.005864,-0.0297143,-0.0278132,-0.172412,-0.0604713,-0.0596369,-0.0298069,-0.0757726,-0.0314514,-0.0058822,-0.0057378,-0.0056485,-0.029099,-0.0274596,-0.2195868,-0.0594549,-0.0535314,-0.0277418,-0.0837584,-0.0307388
-0.0229274,-0.0113044,-0.023083,-0.0207982,-0.0188246,-0.0630168,-0.0434,-0.0311077,-0.0148378,-0.0594998,-0.0177985,-0.0223885,-0.0102577,-0.0224455,-0.0106739,-0.0133908,-0.0623469,-0.0506593,-0.0209694,-0.0168246,-0.0563601,-0.0124813,-0.0075335,-0.0057221,-0.007792,-0.0135069,-0.0234451,-0.1174646,-0.0612375,-0.0312291,-0.02525,-0.0521366,-0.0310052,-0.007364,-0.0049209,-0.0072924,-0.0219935,-0.0349917,-0.1288563,-0.0586494,-0.0203453,-0.026457,-0.0757551,-0.0283718
-0.0245428,-0.0131582,-0.0255545,-0.015654,-0.0135783,-0.0638387,-0.0484,-0.036053,-0.0195764,-0.0471277,-0.0219659,-0.0238413,-0.0117492,-0.0250776,-0.0137789,-0.0138759,-0.0615125,-0.0469236,-0.0292978,-0.0140731,-0.0491852,-0.0135442,-0.0085194,-0.0082805,-0.0079201,-0.0229192,-0.0320285,-0.1218372,-0.0497475,-0.0385256,-0.0189064,-0.0530014,-0.017442,-0.0072623,-0.007749,-0.0065651,-0.0324097,-0.0370387,-0.1492718,-0.0546585,-0.0268831,-0.0323324,-0.0550797,-0.0371062
-0.0022774,-0.0006586,-0.0018336,-0.0017056,-0.0018376,-0.0069596,0.0037634,-0.0101777,-0.0019875,0.0045235,-0.0018482,-0.0023254,-0.0008045,-0.0020866,-0.0017891,-0.0016586,-0.0081404,0.0045399,-0.0022306,-0.0018283,0.0025587,-0.0017423,-0.0060183,-0.0044013,-0.0059637,-0.0371483,-0.0321099,-0.1653205,-0.0951806,-0.0453368,-0.0384804,-0.1169293,-0.0333389,-0.0058022,-0.0032033,-0.0057301,-0.0254791,-0.0262859,-0.2489981,-0.1004485,-0.0207708,-0.0267724,-0.0962827,-0.0263765
-0.0014109,-0.0003273,-0.0021377,-0.0015627,-0.0028234,-0.0069348,0.0031744,-0.0092006,-0.0008337,0.0045788,-0.0013304,-0.0021696,-0.0008668,-0.0022663,-0.0013594,-0.0016135,-0.008717,0.0032501,-0.0095725,-0.0016602,0.0043882,-0.0017674,-0.0056126,-0.0038358,-0.0055731,-0.0371845,-0.0346822,-0.1581367,-0.1208932,-0.0452369,-0.0386657,-0.0925451,-0.0316484,-0.0056312,-0.0036715,-0.0057105,-0.0266439,-0.0267955,-0.2307668,-0.0908511,-0.0597464,-0.0285739,-0.0960122,-0.0290194
-0.0235883,-0.0092562,-0.024741,-0.0208704,-0.0214591,-0.06566,-0.0535486,-0.0331077,-0.0177044,-0.0568218,-0.0204806,-0.0230262,-0.009341,-0.0247045,-0.0169346,-0.0152887,-0.0550177,-0.0519592,-0.0245032,-0.0163426,-0.0589131,-0.0173145,-0.0061597,-0.0046325,-0.0062252,-0.0202253,-0.0218964,-0.1216448,-0.0572414,-0.036483,-0.0309705,-0.058707,-0.0284843,-0.0056457,-0.003949,-0.0053695,-0.0292148,-0.0390197,-0.1193708,-0.0618643,-0.0262488,-0.0315842,-0.0601966,-0.0376422
-0.0018811,-0.0005597,-0.0024578,0.0003929,-0.0025299,-0.0083986,-0.0010038,-0.0054883,-0.0008279,4.34e-05,0.0003725,-0.0024009,-0.0008273,-0.0024755,-0.0002002,-0.0016165,-0.0089614,0.0019782,-0.0037956,-0.0013492,0.0017174,-0.000694,-0.0053943,-0.0037487,-0.0055057,-0.0336122,-0.0366648,-0.1569561,-0.1077525,-0.0431079,-0.0398537,-0.1106612,-0.0342465,-0.005428,-0.0033324,-0.0054398,-0.0373652,-0.0284156,-0.2202292,-0.0928431,-0.0457036,-0.0267217,-0.1078032,-0.0341615
-0.0013551,-0.0005885,-0.0013283,-0.0015415,-0.0031377,-0.0059342,-0.0091872,-0.0052428,-0.001266,-0.0003778,-0.0008253,-0.0010894,-0.0002879,-0.0012579,-0.0011459,-0.0008328,-0.0059863,-0.00096,-0.0011897,-0.0010934,-0.0012364,-0.0009271,-0.005039,-0.003306,-0.0053302,-0.0249326,-0.0106392,-0.110947,-0.0483068,-0.0349689,-0.0401808,-0.0790025,-0.0340666,-0.0052641,-0.0029571,-0.0052232,-0.0249867,-0.0277949,-0.1591924,-0.0824378,-0.0113289,-0.0251468,-0.0818027,-0.0276743
-0.0018447,-0.001038,-0.0014608,-0.0002002,-0.0015229,-0.0070675,-0.0084856,-0.0060851,-0.0028491,0.0016699,-0.0011873,-0.0010992,-0.0005028,-0.0013377,-0.000606,-5.5e-05,-0.006905,0.0015326,-0.00256,-0.0004893,0.0005542,-0.0001272,-0.0073241,-0.005599,-0.0075758,-0.0324666,-0.0297498,-0.1153543,-0.0387055,-0.0350375,-0.011908,-0.0766826,-0.0262551,-0.0074934,-0.0051385,-0.0071894,-0.0286628,-0.0332917,-0.1469233,-0.0794882,-0.0166877,-0.028372,-0.0767427,-0.0335673
-0.0015249,-0.0007605,-0.0011729,-0.0012272,-0.0030859,-0.0066718,-0.008884,-0.0057719,-0.0013271,0.0008492,-0.0005045,-0.0009802,-0.0003271,-0.0011386,-0.0010154,-0.000498,-0.0065455,0.000403,-0.0016349,-0.0009337,-6.02e-05,-0.0004695,-0.0061871,-0.0043225,-0.0064545,-0.0258803,-0.0115494,-0.1108072,-0.0405841,-0.0355019,-0.0346844,-0.0804812,-0.0331602,-0.0064025,-0.0038799,-0.0062535,-0.0258523,-0.0295742,-0.157134,-0.0821241,-0.0131647,-0.0255767,-0.0804903,-0.0295826
